time;cpu_percentage;memory
1;0.00036142991310528054;22.74
2;9.286610738255034;23.25
3;12.034662162162164;23.89
4;9.66746218487395;24.23
5;14.277571669477235;24.92
6;12.383377926421405;25.59
7;13.725430016863408;26.2
8;12.915483870967742;26.82
9;8.48114671163575;26.84
10;14.643015075376884;28.11
11;15.224744027303755;28.16
12;12.710558375634518;28.21
13;14.189594594594595;28.29
14;16.04283276450512;28.77
15;13.574010152284266;29.26
16;13.390927487352444;29.5
17;13.869882352941175;29.83
18;14.728885135135137;30.15
19;14.853705583756344;30.41
20;15.344215851602023;30.46
21;14.759797297297297;30.61
22;12.293949579831933;31.29
23;14.19986440677966;32.3
24;16.24947723440135;32.48
25;16.497457627118646;33.75
26;13.78804054054054;33.98
27;14.071520270270272;33.98
28;13.66097807757167;34.03
29;16.164795918367346;34.49
30;14.831616161616163;34.62
31;15.793074324324325;34.64
32;10.655858585858585;34.75
33;14.722842639593908;34.76
34;14.349005059021922;35.17
35;17.294848484848487;35.78
36;14.622376910016976;35.8
37;17.05871186440678;36.3
38;14.325888324873096;37.44
39;14.118539898132425;37.44
40;15.46510135135135;38.58
41;15.347048903878582;39.36
42;12.546070826306915;39.37
43;15.748832487309643;39.5
44;13.954588235294118;39.89
45;14.584242424242424;39.9
46;12.476974789915966;40.16
47;12.699898477157362;41.38
48;14.990994940978078;41.49
49;15.483857868020307;41.58
50;13.438489932885906;41.62
51;16.034572864321607;41.77
52;12.738030560271646;41.91
53;15.364134453781514;42.99
54;13.387966386554623;43.29
55;14.905570469798658;43.42
56;13.835472972972973;43.48
57;16.785405405405406;45.58
58;14.523050847457625;46.17
59;17.412915254237287;46.2
60;14.907318718381113;46.28
61;14.868469387755102;46.33
62;15.702959183673467;46.4
63;12.826013513513512;46.41
64;16.641146711635752;46.51
65;12.238077571669479;46.78
66;15.740738255033557;47.11
67;15.009207419898818;47.11
68;13.310472972972976;47.58
69;13.7669243697479;47.6
70;15.937766497461931;49.5
71;14.01502538071066;50.29
72;14.73763912310287;50.5
73;15.029696969696971;50.51
74;13.820672268907563;50.53
75;16.266993243243245;50.79
76;16.796047297297296;51.11
77;17.02016863406408;51.14
78;15.998614864864866;51.14
79;12.816241610738254;51.23
80;14.031040268456374;51.33
81;16.80507614213198;51.85
82;12.813243243243244;52.92
83;12.277905405405406;54.29
84;16.37087837837838;54.33
85;13.841999999999999;54.34
86;15.754502529510962;55.68
87;13.128181818181819;56.51
88;16.154624373956594;56.75
89;16.15131313131313;56.77
90;15.168527918781727;56.77
91;18.219831932773108;56.88
92;12.749391891891893;56.89
93;14.86864864864865;56.95
94;14.469966101694915;57.04
95;15.125838926174499;57.06
96;15.753299492385786;58.11
97;15.069612141652614;58.82
98;15.546231155778894;59.56
99;15.153737373737375;59.56
100;12.696424957841485;59.71
101;15.255885328836424;60.43
102;15.325268456375838;60.84
103;16.597499999999997;61.09
104;18.140574324324323;61.11
105;14.196868686868685;61.12
106;19.49180438448567;61.26
107;15.937272727272727;61.7
108;16.051776649746195;62.05
109;17.497841483979766;62.18
110;15.596762225969647;62.19
111;16.17248730964467;62.2
112;16.744372881355932;63.18
113;14.693939393939392;64.76
114;15.30509337860781;64.85
115;19.538585858585854;64.9
116;15.78467005076142;64.91
117;13.909696969696972;64.92
118;18.14309243697479;67.49
119;15.647288135593218;68.04
120;15.075050847457627;68.29
121;21.460648464163825;68.31
122;15.619864176570458;68.31
123;13.865142857142859;68.32
124;17.381959459459463;68.48
125;14.611467116357504;68.55
126;16.696969696969695;68.58
127;17.65322033898305;68.61
128;15.223277027027027;68.96
129;15.238883248730966;68.96
130;16.76040404040404;69.1
131;14.123654822335025;69.1
132;12.426923076923076;69.1
133;21.500780984719864;71.6
134;14.36027027027027;72.29
135;14.903959390862942;72.42
136;14.15362563237774;72.43
137;18.713949579831933;72.55
138;15.66726050420168;72.57
139;15.291050847457626;72.57
140;18.41868686868687;73.11
141;17.412915254237287;73.7
142;13.584949494949495;74.16
143;16.396910016977927;74.95
144;15.090201342281878;74.96
145;11.812310286677908;74.96
146;15.811010101010101;74.97
147;19.25183193277311;76.91
148;16.747525423728817;77.37
149;17.18929530201342;77.39
150;22.008364249578417;77.42
151;10.988268907563025;77.43
152;14.205604026845636;77.43
153;18.04223350253807;77.46
154;15.935574324324325;77.54
155;23.480304568527917;78.15
156;18.426432160804023;78.5
157;4.308263069139966;78.5
158;1.9744278606965175;79.15
159;0.37445182724252485;79.15
