time;cpu_percentage;memory
1;0.0004742536263834296;21.3
2;8.66829431438127;22.57
3;11.215050505050506;22.97
4;14.654444444444445;23.22
5;13.513558178752108;23.75
6;12.619728813559322;24.25
7;12.662027027027028;24.28
8;14.538080808080808;24.51
9;13.049189189189189;24.4
10;14.831065989847717;25.29
11;13.589494949494949;26.22
12;13.624343434343434;26.74
13;15.842323232323233;26.58
14;16.92855704697987;27.04
15;15.690354131534571;27.37
16;15.49318791946309;28.52
17;16.553737373737373;28.85
18;18.01418918918919;29.5
19;15.420503355704698;29.53
20;15.382664418212478;29.56
21;13.594916387959866;29.58
22;14.268926174496643;29.87
23;15.011111111111111;30.72
24;15.228060200668898;31.02
25;12.90964467005076;31.36
26;13.762046979865772;31.36
27;16.756087689713322;32.06
28;15.681045531197302;32.34
29;17.08125636672326;32.79
30;17.301116751269035;32.91
31;13.24808080808081;32.91
32;14.335361344537818;34.29
33;15.421827411167513;34.46
34;16.463899159663868;34.82
35;13.080302013422818;35.01
36;16.311891891891893;35.01
37;17.31086003372681;35.7
38;16.271476510067114;36.04
39;15.221616161616163;36.05
40;17.33222222222222;37.03
41;17.11935810810811;37.13
42;15.38768456375839;37.47
43;16.731500843170323;37.73
44;17.1070826306914;38.76
45;17.8710101010101;39.21
46;14.684974789915966;39.22
47;18.308397976391234;39.58
48;16.524182124789206;39.92
49;16.72858585858586;39.92
50;18.350218487394958;41.06
51;8.931703204047217;41.4
52;16.07248730964467;41.81
53;15.547361344537816;42.04
54;19.77477966101695;42.57
55;20.854097807757167;42.61
56;16.786192893401015;42.61
57;19.98010118043845;42.76
58;16.201008403361346;42.82
59;21.37909090909091;45.43
60;20.331283783783782;45.78
61;17.22673366834171;45.8
62;19.279932885906035;45.83
63;14.5512;45.89
64;24.6037436762226;45.91
65;19.746151260504202;45.92
66;24.18867346938775;47.5
67;22.9802027027027;47.41
68;24.207925801011807;47.42
69;24.003756345177667;47.46
70;19.815932773109243;47.52
71;24.824470588235297;47.71
72;20.024798657718122;47.99
73;25.073604060913702;48.71
74;20.777516778523488;49.58
75;21.641275167785235;49.62
76;11.996494156928215;50.16
77;0.2513;50.15
