time;cpu_percentage;memory
1;0.00034250469596436317;22.45
2;9.46418918918919;23.03
3;12.226925675675675;23.28
4;10.898383838383838;25.41
5;12.271812080536911;25.9
6;11.52517766497462;26.46
7;12.666880269814504;26.49
8;10.796161616161616;26.54
9;13.834966216216216;26.78
10;16.461254237288138;27.48
11;14.439966273187185;27.57
12;15.805830508474578;27.66
13;15.785463743676223;28.01
14;16.763918918918918;29.17
15;15.392121212121213;29.18
16;15.518006756756758;29.26
17;12.469763513513513;29.61
18;14.985151515151514;30.78
19;15.118084033613444;31.37
20;15.95673469387755;31.94
21;17.438338983050848;32.75
22;15.506530612244898;32.75
23;16.34918918918919;32.8
24;16.770152284263958;32.83
25;15.638513513513514;32.85
26;17.24655405405405;33.14
27;13.156169491525423;33.42
28;15.561313131313131;34.23
29;15.919155405405405;34.37
30;16.867575757575757;34.43
31;16.383851351351353;34.57
32;13.29744966442953;34.58
33;17.536565656565656;35.48
34;16.35549579831933;36.47
35;17.87675126903553;36.53
36;14.085555555555555;36.55
37;16.98833898305085;38.06
38;15.75090909090909;38.5
39;13.861011804384487;38.51
40;18.38954314720812;38.64
41;17.715126903553298;38.68
42;13.883170320404723;38.69
43;17.376767676767678;38.86
44;18.153243243243246;39.17
45;14.094756302521008;39.18
46;16.97989847715736;40.05
47;13.167684563758389;40.73
48;17.443525423728815;40.75
49;15.114141414141413;41.59
50;15.13179661016949;41.82
51;18.743535353535353;42.91
52;14.66777027027027;43.71
53;18.137949579831933;43.96
54;15.399362416107381;43.98
55;20.208667790893763;44.07
56;15.848802698145025;44.19
57;17.89919191919192;44.2
58;17.92375634517766;44.47
59;14.237272727272728;44.87
60;15.356458684654301;45.2
61;16.468735244519394;45.2
62;17.52272268907563;45.66
63;16.03629881154499;46.04
64;20.00023489932886;46.84
65;15.449695945945946;46.86
66;18.497171717171717;47.96
67;16.9951269035533;48.63
68;18.154141414141414;48.71
69;13.284403361344538;48.72
70;18.96524369747899;48.88
71;16.313344537815127;48.98
72;20.543676222596964;49.14
73;17.071824324324325;49.32
74;18.935999999999996;49.55
75;16.26201680672269;50.1
76;18.844545454545454;50.48
77;13.876087689713323;50.71
78;19.680610169491526;50.96
79;15.864485666104553;51.79
80;20.004242424242424;52.07
81;16.780973154362417;52.12
82;17.120780984719865;52.2
83;19.38984771573604;53.96
84;15.904365482233503;54.02
85;18.16346218487395;54.09
86;15.290134228187918;54.09
87;20.40010118043845;54.45
88;15.498680203045687;54.93
89;15.466745362563236;55.12
90;20.225939597315435;55.33
91;17.145661016949152;55.58
92;17.00601680672269;55.83
93;17.226993243243243;55.85
94;16.207159663865546;56.43
95;20.465160202360877;57.68
96;16.680912162162162;58.05
97;20.701919191919195;59.19
98;16.00816188870152;60.19
99;14.910758853288364;60.59
100;22.18806070826307;60.7
101;14.664222972972974;60.78
102;17.531554054054055;60.8
103;17.87135593220339;60.88
104;16.453535353535354;60.89
105;17.306161616161614;60.9
106;22.22597623089983;61.39
107;15.215210792580102;61.48
108;21.54586846543002;61.54
109;17.216565656565656;62.11
110;18.12527918781726;62.12
111;20.001414141414138;62.87
112;19.1739527027027;63.38
113;18.10989898989899;63.44
114;21.557445378151257;64.95
115;17.65684033613445;65.68
116;16.660436974789917;65.8
117;20.785439189189187;65.89
118;18.00566610455312;65.98
119;17.020507614213198;66
120;21.18867346938775;66.19
121;17.487864406779664;66.57
122;17.265101351351355;66.63
123;22.514872665534806;66.68
124;17.23692567567568;67.14
125;18.73989847715736;67.15
126;22.078578680203048;68.39
127;20.62517766497462;68.75
128;17.531534569983137;68.8
129;17.530927487352447;70.47
130;17.21320945945946;71.64
131;17.33452702702703;72.07
132;20.43297478991597;72.2
133;18.084527027027026;72.2
134;16.180573355817877;72.21
135;17.923175675675676;72.21
136;21.98317032040472;72.51
137;15.005344537815127;72.56
138;18.816868686868688;72.91
139;20.094628378378378;72.95
140;17.560408163265308;72.96
141;19.214847457627123;72.96
142;23.381116751269037;74.97
143;18.558414839797642;75.77
144;17.56277027027027;76.43
145;17.574111675126904;76.56
146;22.836381909547736;76.59
147;17.15636974789916;76.61
148;18.282192242833055;76.61
149;20.450067567567565;76.72
150;18.11551020408163;76.76
151;12.691669477234402;76.76
152;17.934425675675676;76.77
153;22.887918781725887;77.8
154;18.99579831932773;78.23
155;17.10493288590604;78.49
156;19.12320404721754;78.53
157;5.85551839464883;78.52
158;0.21140939597315433;78.52
