time;cpu_percentage;memory
1;0.0005191318569773063;21.25
2;12.156220735785954;20.98
3;14.046294416243654;22.03
4;12.658666666666669;22.58
5;8.54539629005059;24.57
6;12.111529411764705;24.44
7;8.084542372881357;24.76
8;6.437113752122241;25.11
9;7.616672268907562;25.53
10;13.263344594594596;26.05
11;14.194795918367348;26.16
12;12.329443507588532;27.02
13;14.553197969543147;27.7
14;13.31989966555184;27.75
15;14.41426644182125;27.83
16;15.17929292929293;28.35
17;14.254213197969543;28.35
18;12.49929292929293;28.39
19;13.228389261744965;28.85
20;14.274756302521007;28.94
21;16.328108108108108;29.46
22;16.0589544688027;29.7
23;14.776621621621622;31
24;15.038181818181817;31.03
25;17.211661016949154;31.12
26;15.098578680203046;32
27;15.032237288135592;33.25
28;13.76904201680672;33.65
29;14.616672325976232;33.73
30;16.3006711409396;33.74
31;13.531216216216219;33.78
32;18.269081632653062;34.73
33;14.965365025466893;34.79
34;15.469238578680203;34.93
35;14.181827411167514;35.29
36;15.987171717171716;35.32
37;16.138064516129035;36.61
38;10.111610738255033;36.94
39;13.569932432432433;37.07
40;16.78735244519393;37.3
41;16.24370994940978;37.43
42;17.80994923857868;37.89
43;14.301326530612243;39.01
44;15.251313131313132;39.02
45;14.670050761421322;39.42
46;15.098440677966101;40.51
47;17.564644067796607;40.54
48;13.882057335581788;40.65
49;13.359086294416244;40.71
50;16.035736040609137;40.72
51;13.308181818181819;40.72
52;17.073820033955855;42.18
53;16.30908163265306;42.43
54;14.197979797979798;42.44
55;17.701013513513512;42.81
56;13.91231028667791;42.92
57;17.712733446519525;42.98
58;13.867386172006746;43.46
59;13.630118043844858;44.05
60;16.734242424242424;44.52
61;15.615051194539248;44.58
62;18.122241086587437;45.78
63;15.523830508474576;46.12
64;16.586033898305086;46.18
65;17.979489795918365;46.54
66;15.32752107925801;47.62
67;16.94203045685279;47.67
68;11.362084033613446;47.67
69;17.233502538071065;48.09
70;15.618610169491525;48.29
71;17.784283305227653;48.88
72;17.89717206132879;49.29
73;18.84141891891892;50.15
74;17.80650766609881;50.79
75;20.433624161073826;50.79
76;16.34327150084317;50.82
77;23.323571428571427;51.89
78;18.62730964467005;51.96
79;18.28043918918919;51.97
80;22.4915593220339;52.96
81;17.691254237288135;53.98
82;18.683694915254236;54.05
83;14.706385135135136;54.06
84;15.180812182741116;54.07
85;20.53206132879046;54.23
86;16.1410101010101;54.24
87;21.16720812182741;56.21
88;16.13705583756345;56.73
89;20.25334459459459;56.75
90;16.63807106598985;56.75
91;18.130881355932203;56.81
92;20.583571428571428;57.28
93;16.071457627118644;57.3
94;18.960100502512564;57.32
95;16.999627118644067;57.32
96;20.116666666666667;58.16
97;16.825888324873095;59.36
98;12.19848484848485;59.37
99;20.133547297297294;59.39
100;16.53814502529511;59.39
101;20.050927487352443;59.99
102;17.512336134453783;60.51
103;23.548080808080808;65.5
104;21.878984771573602;66.14
105;21.259999999999998;66.34
106;20.206138279932546;66.52
107;26.353232323232323;66.53
108;19.314435075885328;66.85
109;24.333197969543146;69.1
110;17.852984822934236;69.11
111;27.073535353535355;69.14
112;21.163885135135136;69.16
113;24.577297297297296;70.68
114;29.758175675675673;70.72
115;21.60815436241611;70.73
116;22.72631756756757;70.91
117;20.070704697986578;71.25
118;15.129425675675675;71.25
119;22.466371379897787;71.26
120;17.559831081081082;71.26
121;26.67030303030303;71.27
122;20.968726655348046;71.28
123;26.119966386554623;73.47
124;24.058386554621848;73.79
125;24.674223706176964;73.81
126;21.25525423728814;73.84
127;24.057875210792577;74.42
128;19.73065989847716;74.54
129;26.240542372881357;74.96
130;22.27484745762712;74.97
131;26.101517706576725;75.91
132;21.448013582342952;75.98
133;23.157668918918922;75.99
134;16.739694915254237;76
135;16.627106598984774;76.03
136;20.600574324324324;79.22
137;16.32391959798995;80.32
138;16.711365935919055;80.33
139;21.97752921535893;80.38
140;15.190844594594594;80.37
141;16.76943972835314;80.38
142;17.790799999999997;80.4
143;21.717369308600336;80.94
144;21.80255033557047;80.98
145;21.00080808080808;80.98
146;20.32757575757576;81.67
147;21.992424242424242;81.96
148;17.175784148397977;81.97
149;20.090558375634522;82.03
150;23.855838926174496;83.39
151;15.455959595959595;83.48
152;21.26147899159664;83.49
153;25.103434343434344;83.63
154;22.62050420168067;83.54
155;21.665261382799326;83.54
156;22.923731092436974;83.54
157;4.188504201680672;83.54
158;0.25435215946843853;83.54
