time;cpu_percentage;memory
1;0.0054770004665219765;23.7
2;11.156756756756756;22.58
3;6.293513513513514;23.86
4;8.054117647058822;23.05
5;6.730050761421319;23.17
6;6.741515151515151;23.86
7;8.545423728813558;24.03
8;9.311918505942275;24.83
9;8.057461928934009;25.75
10;7.395304054054054;26.77
11;8.627495798319327;26.62
12;11.111332209106239;26.68
13;8.544568527918782;27.58
14;7.681319796954314;27.75
15;8.815431472081219;28.24
16;8.858650927487352;28.42
17;10.279966044142613;28.94
18;11.301414141414142;29.02
19;8.118203389830509;30.53
20;11.736140939597316;30.42
21;11.706767676767676;30.43
22;11.550558375634518;30.43
23;11.23328790459966;30.66
24;7.997403035413154;30.67
25;7.99090909090909;31.14
26;11.743932203389832;31.76
27;11.660909090909092;32.29
28;9.794147157190636;32.31
29;11.623599320882851;33.35
30;10.105322033898306;33.35
31;11.50053781512605;33.81
32;12.084141414141413;34.3
33;11.050881355932205;34.83
34;12.890574324324323;34.88
35;8.654798657718121;34.96
36;13.022626262626263;35.65
37;9.635675675675676;35.89
38;12.690304054054055;36.45
39;11.175932773109242;37
40;8.69979797979798;37.06
41;11.685733558178752;37.07
42;14.228067226890756;38.35
43;9.561050847457626;38.48
44;11.590570469798658;38.95
45;11.118243243243246;40.09
46;14.510505050505051;40.12
47;14.479525423728814;40.65
48;15.68097972972973;41.24
49;10.796040609137055;41.62
50;10.982736486486488;41.77
51;14.511966101694915;43.34
52;17.286283783783784;44.59
53;15.808061224489794;45.15
54;14.10453781512605;45.57
55;16.016751269035534;46.16
56;18.384806722689078;46.84
57;13.52979797979798;47.22
58;18.137969543147207;47.23
59;13.933153456998316;47.88
60;16.86831081081081;47.89
61;17.28313659359191;48.45
62;17.957706576728498;48.48
63;15.381928934010153;48.99
64;13.466003372681282;49.04
65;16.18725126475548;49.04
66;19.130033898305083;49.46
67;17.678614864864866;49.48
68;19.817243697478993;50.36
69;16.867525423728814;50.57
70;11.845135135135134;50.6
71;16.44695798319328;51.22
72;16.49233613445378;51.24
73;14.571081081081081;51.7
74;13.437972972972972;52.04
75;13.854932432432431;52.74
76;1.1159197324414716;52.73
77;0.38843697478991596;52.73
